agreement_id,agreement_type,agreement_start_date,agreement_end_date,TRF_NO
131,loan,10/22/2013,5/15/2014,187840
132,mortgage,8/28/2009,09/03/2010,12443
133,loan,1/13/2011,6/23/2019,561119
134,credit card,1/26/2016,11/27/2012,229626
135,credit card,9/19/2015,05/11/2011,536210
136,credit card,10/14/2000,11/12/2004,428056
137,credit card,12/20/2020,05/05/2021,325072
138,mortgage,11/17/2008,6/19/2018,976580
139,loan,04/10/2001,6/30/2007,329861
140,credit card,9/24/2009,9/25/2001,416054
141,mortgage,3/31/2019,01/12/2009,935501
142,mortgage,10/17/2005,2/19/2022,997809
143,mortgage,12/30/2020,7/28/2018,833645
144,credit card,7/13/2002,01/07/2012,705604
145,mortgage,3/24/2002,1/26/2009,610196
146,credit card,9/30/2018,2/22/2015,4473
147,credit card,10/26/2018,10/23/2013,915403
148,mortgage,3/16/2001,10/08/2005,789636
149,loan,02/06/2008,3/31/2020,226650
150,loan,05/11/2008,11/22/2011,476144
151,mortgage,12/30/2004,8/31/2020,740758
152,credit card,11/18/2004,3/15/2014,671409
153,loan,01/03/2009,12/04/2013,679921
154,credit card,01/12/2006,05/09/2008,323302
155,mortgage,03/08/2004,4/16/2009,844553
156,credit card,09/02/2016,07/02/2006,599807
157,mortgage,08/04/2009,8/20/2013,182790
158,mortgage,10/06/2008,11/25/2020,94382
159,credit card,8/15/2016,9/30/2000,668556
160,loan,7/21/2021,07/08/2001,790623
161,mortgage,3/20/2008,7/27/2021,910705
162,credit card,1/20/2011,2/22/2009,101173
163,credit card,10/04/2021,3/30/2018,787295
164,loan,03/09/2002,1/22/2012,119478
165,credit card,6/17/2009,9/25/2022,7367
166,loan,6/21/2004,1/30/2004,115171
167,credit card,02/10/2020,2/13/2001,645241
168,loan,07/07/2014,11/05/2015,274251
169,mortgage,1/21/2022,11/08/2009,151647
170,loan,9/30/2000,7/20/2001,928231
171,credit card,09/08/2017,01/11/2006,326421
172,loan,9/30/2012,01/10/2006,572456
173,credit card,5/30/2003,08/03/2001,364954
174,mortgage,12/27/2012,12/10/2022,402791
175,credit card,2/17/2020,12/03/2010,717753
176,credit card,6/23/2013,6/27/2001,36950
177,loan,6/21/2008,11/19/2019,971034
178,credit card,11/11/2005,06/10/2018,65902
179,credit card,10/17/2007,3/20/2021,119682
180,credit card,3/17/2005,01/07/2015,511290
181,credit card,6/14/2002,11/08/2008,272802
182,loan,04/11/2004,07/08/2004,677447
183,mortgage,01/04/2022,10/12/2018,916224
184,credit card,05/10/2019,12/05/2011,747997
185,credit card,6/21/2016,06/03/2011,391538
186,mortgage,8/18/2003,1/30/2009,720571
187,mortgage,5/31/2020,2/23/2007,663600
188,credit card,04/08/2003,11/27/2019,638780
189,mortgage,9/23/2003,12/11/2006,648075
190,loan,01/12/2021,1/19/2015,424660
191,mortgage,1/29/2022,8/24/2009,80019
192,loan,4/18/2013,3/31/2008,744071
193,mortgage,08/03/2019,04/08/2007,356996
194,mortgage,3/14/2005,01/01/2011,207441
195,credit card,4/23/2008,3/19/2011,712724
196,mortgage,5/27/2022,5/16/2018,676005
197,credit card,12/17/2014,11/30/2010,849336
198,mortgage,7/14/2009,6/26/2005,726079
199,loan,1/22/2000,11/09/2014,894447
200,loan,05/02/2018,11/27/2015,313274
201,mortgage,7/15/2003,7/18/2015,886840
202,mortgage,12/08/2003,5/16/2022,681193
203,credit card,2/17/2004,02/02/2016,661996
204,loan,11/13/2006,12/07/2018,503836
205,mortgage,5/31/2014,3/15/2002,998621
206,mortgage,5/31/2014,11/18/2003,285776
207,loan,05/05/2012,03/10/2016,802536
208,mortgage,4/27/2004,7/15/2006,376077
209,loan,7/31/2002,9/30/2014,156743
210,loan,5/28/2017,3/18/2011,183076
211,loan,5/27/2006,03/09/2019,219880
212,loan,01/05/2003,08/08/2021,891206
213,loan,11/19/2019,1/20/2013,600503
214,mortgage,01/10/2010,8/14/2004,708447
215,mortgage,5/26/2001,6/21/2001,390454
216,mortgage,8/24/2001,5/30/2013,496886
217,mortgage,4/18/2013,12/07/2007,478943
218,credit card,10/30/2022,10/03/2008,924794
219,mortgage,05/05/2001,02/08/2015,190435
220,loan,1/21/2022,11/14/2007,203579
221,loan,06/11/2010,5/15/2002,123382
222,loan,10/17/2007,9/23/2018,330301
223,loan,2/26/2007,1/18/2017,616799
224,credit card,6/27/2010,1/15/2008,578779
225,credit card,12/05/2015,7/19/2014,941463
226,credit card,7/30/2015,09/05/2001,421591
227,mortgage,10/28/2011,07/05/2006,256919
228,credit card,12/14/2003,10/19/2012,519488
229,mortgage,09/09/2009,1/31/2011,904542
230,mortgage,02/01/2013,05/07/2007,125215
231,credit card,03/07/2000,4/19/2017,720643
232,credit card,12/21/2014,6/27/2006,335364
233,credit card,10/21/2022,07/06/2019,640130
234,loan,05/04/2001,2/16/2008,377573
235,mortgage,03/02/2014,12/03/2022,738909
236,loan,4/16/2006,05/05/2005,906148
237,mortgage,9/14/2014,10/27/2009,702229
238,loan,5/28/2005,5/24/2000,654135
239,credit card,4/30/2010,2/21/2011,179811
240,credit card,06/11/2010,9/29/2006,834101
241,credit card,3/28/2020,02/12/2004,48532
242,loan,06/10/2022,9/24/2004,478735
243,mortgage,10/21/2018,10/22/2022,334706
244,loan,4/16/2019,6/14/2000,356806
245,loan,10/04/2013,11/05/2017,196027
246,credit card,1/24/2020,2/16/2015,866635
247,mortgage,9/18/2015,03/09/2022,669171
248,loan,02/06/2001,07/02/2006,25480
249,mortgage,06/04/2014,5/22/2015,414207
250,mortgage,12/27/2018,3/13/2014,911815
251,loan,01/03/2012,7/29/2007,345444
252,loan,2/27/2003,08/03/2001,106531
253,mortgage,08/05/2017,03/03/2001,322152
254,mortgage,3/30/2016,4/20/2014,703927
255,loan,09/08/2013,6/13/2002,227951
256,mortgage,12/07/2020,09/03/2005,413983
257,credit card,2/27/2013,8/21/2011,146726
258,credit card,4/14/2008,01/06/2014,837161
259,credit card,06/05/2010,05/01/2017,201376
260,credit card,10/07/2013,03/05/2018,628793
261,credit card,3/28/2014,09/07/2007,129694
262,mortgage,5/21/2022,5/31/2012,25675
263,credit card,11/25/2014,12/15/2019,839104
264,credit card,04/09/2018,01/09/2011,662788
265,loan,3/15/2015,02/09/2014,917524
266,mortgage,12/29/2009,10/09/2004,265467
267,loan,08/02/2002,10/25/2012,802836
268,credit card,04/07/2008,3/23/2005,480849
269,mortgage,3/27/2022,07/12/2010,638251
270,credit card,12/06/2014,8/29/2009,124198
271,mortgage,09/09/2008,3/23/2019,529652
272,mortgage,06/03/2004,08/03/2004,559125
273,mortgage,4/25/2014,6/17/2014,705897
274,loan,05/01/2005,1/23/2014,878417
275,mortgage,5/19/2018,4/14/2005,405118
276,credit card,11/16/2014,5/22/2013,743299
277,mortgage,07/07/2011,4/28/2004,63378
278,credit card,7/30/2020,7/27/2006,320940
279,loan,10/26/2006,10/10/2007,491865
280,loan,5/25/2006,11/11/2007,266672
281,credit card,7/26/2011,6/25/2007,545455
282,loan,12/09/2004,7/30/2022,280277
283,loan,1/30/2010,4/29/2002,583162
284,mortgage,5/22/2013,07/02/2003,221177
285,credit card,11/07/2022,02/03/2020,735979
286,mortgage,11/07/2001,7/30/2006,685906
287,mortgage,7/21/2003,10/04/2004,899172
288,credit card,5/23/2010,9/15/2019,899488
289,credit card,3/20/2012,10/04/2011,619416
290,loan,06/03/2005,2/22/2007,29967
291,credit card,12/06/2003,06/09/2014,49373
292,mortgage,8/28/2011,6/16/2016,201482
293,mortgage,8/16/2006,07/06/2018,416582
294,mortgage,07/12/2006,5/15/2019,360016
295,mortgage,09/06/2004,7/19/2005,920428
296,mortgage,6/22/2018,7/27/2022,657482
297,loan,05/01/2018,10/23/2010,901003
298,mortgage,2/20/2017,01/06/2013,165683
299,loan,7/28/2004,1/24/2002,320503
300,credit card,4/20/2002,6/16/2017,967767
301,mortgage,12/15/2005,08/05/2019,555323
302,mortgage,4/21/2008,9/28/2009,977817
303,mortgage,07/10/2016,11/25/2020,629837
304,mortgage,08/08/2003,06/02/2000,630336
305,loan,3/14/2005,4/27/2012,225100
306,credit card,4/27/2001,4/20/2019,448267
307,mortgage,11/10/2022,12/29/2001,127566
308,credit card,09/03/2007,08/05/2002,569760
309,credit card,2/23/2003,3/16/2013,103990
310,loan,5/14/2017,05/07/2015,480447
311,mortgage,12/17/2002,01/08/2004,474291
312,mortgage,10/08/2021,08/10/2003,382866
313,mortgage,02/02/2013,07/04/2011,800398
314,credit card,06/12/2017,11/10/2019,475266
315,mortgage,5/18/2007,02/10/2016,895593
316,credit card,10/13/2013,12/20/2020,182496
317,mortgage,2/28/2020,09/05/2000,158630
318,mortgage,03/12/2006,12/26/2006,15015
319,mortgage,3/22/2017,11/26/2002,677535
320,loan,7/14/2001,05/09/2022,300797
321,credit card,10/23/2003,01/12/2010,273628
322,loan,9/18/2021,5/24/2000,457489
323,credit card,6/29/2006,12/22/2009,919782
324,credit card,6/15/2010,12/18/2010,46931
325,loan,11/19/2001,10/20/2015,756763
326,credit card,08/05/2005,03/10/2015,685593
327,mortgage,01/05/2002,04/06/2017,147022
328,mortgage,08/10/2014,05/04/2014,214113
329,mortgage,10/04/2018,10/12/2010,684939
330,mortgage,02/02/2007,10/29/2009,232744
331,mortgage,11/07/2020,08/02/2004,613588
332,mortgage,03/09/2014,4/22/2006,676735
333,loan,10/31/2000,7/21/2018,508265
334,loan,1/25/2016,10/15/2009,956133
335,credit card,9/28/2010,9/23/2016,990343
336,credit card,03/03/2000,2/27/2007,899423
337,loan,11/19/2013,6/20/2013,545566
338,mortgage,12/21/2007,03/03/2000,92288
339,loan,8/16/2018,5/21/2007,35525
340,mortgage,8/21/2005,8/30/2001,155516
341,loan,5/26/2015,1/21/2000,510936
342,credit card,9/13/2014,9/27/2000,830873
343,mortgage,10/09/2000,07/01/2012,531499
344,mortgage,1/16/2013,4/30/2016,34214
345,loan,04/02/2019,09/09/2006,459431
346,mortgage,7/24/2007,7/27/2018,437252
347,credit card,12/03/2009,05/12/2011,929763
348,credit card,11/02/2015,04/10/2009,281108
349,credit card,1/13/2007,02/04/2020,863231
350,loan,10/30/2001,04/05/2016,747515
351,mortgage,03/05/2020,9/26/2016,311033
352,loan,6/24/2016,5/24/2014,732661
353,credit card,1/13/2017,6/14/2003,761821
354,mortgage,01/12/2016,11/07/2007,853726
355,mortgage,9/15/2001,08/08/2008,405088
356,loan,1/31/2016,6/14/2020,97926
357,loan,11/21/2003,10/15/2007,487340
358,mortgage,7/23/2003,11/25/2006,469604
359,loan,9/27/2015,02/09/2001,335681
360,loan,12/04/2011,02/10/2020,50805
361,mortgage,9/21/2004,1/17/2015,585570
362,credit card,05/10/2011,10/11/2006,412984
363,mortgage,12/18/2004,6/28/2002,952990
364,mortgage,9/21/2009,3/31/2014,543590
365,credit card,04/02/2020,10/19/2018,492732
366,mortgage,09/09/2015,11/04/2009,911304
367,credit card,7/22/2018,10/14/2014,114770
368,credit card,12/19/2002,8/18/2009,829707
369,credit card,12/29/2003,11/06/2022,691215
370,credit card,1/29/2003,5/29/2018,539775
371,mortgage,6/17/2014,8/22/2003,502701
372,loan,3/25/2009,4/30/2022,687862
373,mortgage,11/07/2022,5/22/2011,804830
374,mortgage,03/04/2021,04/01/2019,96866
375,loan,11/06/2001,12/30/2005,795980
376,loan,6/25/2009,08/04/2020,601317
377,mortgage,5/21/2014,11/21/2015,391593
378,loan,5/29/2008,11/17/2017,236668
379,mortgage,09/07/2003,05/12/2009,115976
380,credit card,11/15/2019,02/01/2021,452359
381,loan,10/05/2021,1/22/2020,76068
382,loan,02/07/2011,11/03/2021,489065
383,credit card,7/19/2010,12/15/2022,243973
384,loan,1/20/2020,10/21/2001,701101
385,loan,03/06/2016,10/12/2005,456390
386,loan,6/15/2017,5/27/2003,926640
387,loan,8/24/2015,2/19/2000,752276
388,mortgage,06/02/2010,12/01/2019,52142
389,credit card,05/07/2006,1/22/2011,341156
390,loan,8/31/2017,11/09/2007,730939
391,mortgage,4/23/2012,01/04/2018,770162
392,loan,12/15/2022,9/24/2000,30897
393,mortgage,09/08/2008,7/18/2013,67683
394,loan,2/20/2011,08/12/2014,947598
395,mortgage,02/02/2000,05/04/2000,148492
396,mortgage,5/19/2001,9/18/2014,69452
397,mortgage,5/30/2001,08/02/2020,502372
398,credit card,01/06/2013,1/17/2000,109415
399,loan,6/22/2019,3/22/2001,906884
400,loan,5/15/2008,10/25/2011,511868
401,credit card,4/16/2010,06/12/2004,940318
402,credit card,1/13/2008,8/28/2013,917839
403,mortgage,6/20/2020,10/09/2009,859776
404,credit card,9/13/2011,2/27/2019,925731
405,credit card,02/04/2002,06/05/2015,890961
406,mortgage,8/26/2012,08/05/2022,634593
407,credit card,11/06/2016,1/29/2017,800422
408,credit card,01/12/2019,3/31/2012,464752
409,credit card,02/09/2005,11/28/2019,295608
410,mortgage,07/05/2004,1/18/2019,529423
411,credit card,2/24/2013,5/25/2010,790878
412,loan,1/31/2020,10/31/2017,760526
413,credit card,10/14/2015,11/21/2011,551531
414,credit card,08/09/2019,7/22/2020,751116
415,loan,4/13/2001,7/24/2004,145088
416,credit card,8/23/2015,02/08/2011,713933
417,credit card,5/15/2022,8/22/2013,295608
418,credit card,07/04/2007,03/10/2019,269929
419,mortgage,5/23/2016,4/16/2015,784169
420,loan,01/11/2020,6/30/2008,253976
421,loan,4/17/2010,02/09/2019,541013
422,credit card,10/02/2014,6/18/2009,896797
423,credit card,10/02/2000,10/21/2021,396931
424,mortgage,3/18/2003,08/03/2009,520708
425,loan,7/22/2011,12/08/2005,483951
426,mortgage,11/18/2013,3/16/2015,463822
427,mortgage,10/23/2016,7/19/2018,373037
428,mortgage,7/15/2013,3/19/2006,834885
429,credit card,03/09/2022,6/24/2015,802735
430,credit card,03/06/2006,8/19/2011,631935
431,mortgage,8/25/2016,4/15/2011,60050
432,credit card,4/20/2009,05/06/2002,245027
433,loan,4/28/2001,3/30/2009,910543
434,loan,03/10/2020,08/04/2019,463811
435,credit card,7/29/2019,12/25/2006,93775
436,loan,07/04/2005,8/14/2008,256464
437,mortgage,12/03/2020,2/22/2001,554345
438,mortgage,9/14/2005,12/14/2018,903725
439,loan,9/27/2016,7/22/2009,982336
440,mortgage,9/22/2008,01/08/2005,748069
441,mortgage,11/27/2013,10/28/2010,77569
442,mortgage,5/29/2013,4/23/2003,580382
443,mortgage,4/16/2004,6/18/2009,659235
444,mortgage,12/04/2017,05/02/2007,859103
445,mortgage,9/30/2010,10/04/2007,774585
446,mortgage,5/14/2002,4/16/2011,454462
447,loan,12/14/2010,4/17/2008,59433
448,credit card,4/23/2000,12/24/2018,91603
449,loan,08/09/2020,09/03/2022,968633
450,loan,12/23/2004,09/08/2020,643703
451,credit card,11/16/2004,02/11/2017,675190
452,credit card,1/24/2008,09/11/2006,868582
453,credit card,9/25/2011,10/13/2015,427234
454,loan,2/15/2009,03/01/2010,639020
455,mortgage,09/06/2016,12/19/2012,782315
456,mortgage,12/03/2015,10/04/2003,742074
457,credit card,10/09/2014,05/06/2013,493039
458,loan,06/02/2008,11/27/2011,949123
459,credit card,08/09/2014,8/31/2020,306307
460,credit card,06/04/2021,7/29/2015,704573
461,loan,7/22/2014,06/02/2006,499796
462,credit card,03/04/2002,10/24/2019,863096
463,credit card,06/02/2014,10/30/2002,33466
464,mortgage,1/30/2003,03/12/2013,252360
465,credit card,11/20/2014,10/10/2018,70076
466,loan,12/15/2007,04/09/2005,927367
467,mortgage,12/07/2022,11/07/2018,25689
468,mortgage,10/07/2008,07/03/2013,947204
469,mortgage,08/03/2000,12/02/2000,401114
470,credit card,7/24/2014,1/17/2003,434279
471,mortgage,11/24/2005,06/02/2013,777761
472,loan,11/30/2017,08/10/2013,781342
473,credit card,7/13/2003,5/31/2003,584803
474,loan,8/31/2021,4/18/2003,131219
475,mortgage,06/11/2005,03/09/2013,747999
476,loan,2/21/2021,01/01/2022,885388
477,loan,11/03/2005,6/16/2016,528499
478,loan,1/19/2020,05/03/2021,74503
479,loan,12/25/2013,7/30/2003,551618
480,mortgage,5/17/2017,04/07/2000,404160
481,mortgage,6/19/2013,09/12/2000,390462
482,credit card,10/16/2015,3/21/2020,494417
483,credit card,7/27/2018,05/08/2004,962905
484,credit card,5/14/2009,8/29/2018,922828
485,credit card,11/05/2022,01/08/2012,465677
486,mortgage,5/23/2001,12/14/2013,738615
487,loan,07/12/2015,10/20/2018,107996
488,mortgage,01/06/2002,4/17/2007,510747
489,credit card,03/07/2015,07/04/2003,425227
490,credit card,10/15/2019,12/05/2021,706083
491,mortgage,8/19/2014,10/23/2000,695353
492,mortgage,5/13/2014,09/08/2013,915071
493,mortgage,9/25/2021,1/16/2013,988218
494,credit card,10/07/2019,5/26/2012,818706
495,credit card,4/20/2005,5/14/2002,922698
496,mortgage,06/02/2008,06/06/2008,55218
497,credit card,01/10/2012,7/22/2006,19876
498,loan,7/20/2010,1/19/2019,743506
499,mortgage,7/14/2003,10/24/2001,641437
500,mortgage,5/26/2002,11/28/2007,320502
501,loan,4/15/2009,11/16/2012,436029
502,loan,06/10/2001,2/24/2019,137260
503,loan,3/24/2009,6/18/2002,792749
504,mortgage,09/04/2005,04/07/2003,638312
505,mortgage,9/30/2010,3/14/2006,779408
506,mortgage,11/04/2008,5/19/2003,377045
507,mortgage,04/01/2017,08/01/2009,178133
508,credit card,2/14/2004,08/08/2017,283903
509,credit card,12/25/2001,01/01/2021,779564
510,loan,4/29/2017,10/31/2010,413575
511,loan,12/09/2014,2/19/2000,509091
512,loan,8/20/2006,06/10/2019,213612
513,mortgage,7/23/2016,6/21/2000,127630
514,mortgage,9/15/2013,01/08/2022,625064
515,loan,02/03/2018,06/07/2022,96201
516,loan,09/12/2001,12/02/2020,796752
517,loan,7/21/2022,02/02/2016,849236
518,mortgage,3/14/2001,02/03/2012,286896
519,mortgage,6/19/2015,11/27/2010,723658
520,mortgage,2/20/2020,1/13/2006,564916
521,credit card,11/29/2005,4/28/2005,65829
522,credit card,9/20/2012,9/27/2009,149670
523,mortgage,04/10/2021,11/18/2021,773240
524,loan,02/10/2003,02/09/2016,188012
525,mortgage,02/04/2020,05/12/2012,228492
526,credit card,9/29/2011,02/10/2009,792102
527,credit card,3/14/2008,12/04/2012,743825
528,credit card,01/01/2007,05/06/2020,761220
529,credit card,6/29/2021,7/18/2011,424304
530,loan,5/31/2015,6/20/2021,349507
531,credit card,8/16/2018,2/17/2001,239919
532,credit card,5/17/2011,10/12/2003,879111
533,mortgage,11/09/2007,11/08/2011,926953
534,loan,05/06/2011,5/26/2007,70948
535,mortgage,5/18/2008,2/23/2017,778846
536,loan,10/12/2004,10/26/2020,212335
537,credit card,8/25/2017,05/07/2011,249003
538,loan,04/09/2007,7/15/2019,986703
539,mortgage,11/14/2022,07/12/2010,216872
540,mortgage,01/10/2008,8/26/2020,671258
541,loan,9/13/2019,1/17/2008,164405
542,mortgage,11/18/2001,6/30/2001,478966
543,loan,6/21/2008,6/21/2012,302570
544,mortgage,3/18/2007,9/26/2013,984183
545,mortgage,3/28/2002,11/11/2012,803280
546,credit card,6/18/2021,7/24/2003,902923
547,loan,5/19/2019,11/30/2021,67862
548,mortgage,8/30/2018,02/04/2012,994174
549,loan,6/22/2005,11/27/2007,770625
550,credit card,7/18/2022,04/05/2019,573450
551,loan,12/02/2002,01/05/2005,517457
552,mortgage,1/15/2017,07/09/2013,79788
553,loan,6/18/2019,12/13/2022,906672
554,mortgage,10/08/2008,09/08/2018,196943
555,credit card,3/14/2005,3/23/2005,996359
556,loan,3/22/2017,5/13/2001,183505
557,credit card,2/14/2004,07/10/2010,201585
558,credit card,7/14/2017,6/18/2011,296803
559,loan,3/15/2017,10/04/2011,536088
560,loan,09/09/2017,8/15/2000,180626
561,loan,11/30/2012,8/23/2003,673651
562,mortgage,12/13/2012,7/22/2015,843297
563,credit card,10/11/2005,07/09/2001,815254
564,credit card,12/14/2019,4/29/2014,430804
565,mortgage,7/26/2014,07/12/2012,25203
566,loan,10/17/2008,7/18/2016,851511
567,mortgage,9/18/2021,1/21/2011,856114
568,loan,8/29/2006,10/04/2006,939114
569,loan,07/04/2000,11/30/2000,302255
570,mortgage,1/17/2003,1/13/2010,973791
571,credit card,03/05/2017,08/12/2006,17008
572,credit card,12/28/2021,06/12/2007,228111
573,credit card,10/05/2012,7/18/2022,189986
574,loan,12/30/2021,7/25/2018,174305
575,mortgage,8/17/2019,03/11/2019,727846
576,credit card,3/13/2002,11/08/2000,569926
577,loan,7/26/2015,08/05/2015,78796
578,mortgage,01/10/2021,1/30/2005,261169
579,mortgage,12/11/2020,08/11/2002,124471
580,loan,11/22/2017,7/18/2001,358938
581,loan,1/13/2014,9/15/2014,219639
582,mortgage,8/24/2016,09/05/2015,421168
583,mortgage,11/25/2005,11/30/2015,759321
584,credit card,9/13/2003,04/11/2014,986872
585,credit card,1/16/2020,04/03/2012,328164
586,mortgage,1/24/2011,9/17/2007,853961
587,credit card,2/15/2004,5/29/2001,453552
588,loan,02/05/2000,10/28/2011,677084
589,mortgage,09/09/2011,7/31/2015,182827
590,credit card,10/11/2001,5/31/2017,191369
591,mortgage,8/16/2016,10/24/2017,64601
592,loan,11/29/2014,09/07/2017,525453
593,mortgage,7/20/2020,7/22/2018,171315
594,loan,03/04/2000,10/29/2003,460037
595,loan,8/22/2003,7/18/2009,987057
596,credit card,10/27/2012,04/01/2007,378658
597,loan,11/06/2014,9/21/2011,794254
598,loan,2/15/2012,2/29/2016,378592
599,credit card,02/06/2006,03/12/2016,56064
600,credit card,08/10/2002,2/25/2009,89808
601,credit card,04/04/2002,6/16/2022,852503
602,mortgage,01/08/2008,11/14/2018,419940
603,mortgage,08/02/2010,2/14/2011,606089
604,credit card,2/25/2020,06/08/2017,567626
